id,RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2023-03-31,2023-05-31,2024-02-29,createdAt,updatedAt
183,394732,184,"Kalamazoo, MI",msa,MI,2023-02-28,0.5,0.5,1,2023-04-04,2023-04-04
184,394323,185,"Amarillo, TX",msa,TX,2023-02-28,0.1,-0.1,-0.3,2023-04-04,2023-04-04
185,394924,186,"Norwich, CT",msa,CT,2023-02-28,0.5,0.6,-0.1,2023-04-04,2023-04-04
186,394811,187,"Lynchburg, VA",msa,VA,2023-02-28,0.5,0.5,0.6,2023-04-04,2023-04-04
187,394348,188,"Atlantic City, NJ",msa,NJ,2023-02-28,1.1,1.8,4.2,2023-04-04,2023-04-04
188,394455,189,"Charleston, WV",msa,WV,2023-02-28,0.4,0,-1.6,2023-04-04,2023-04-04
189,395171,190,"Tuscaloosa, AL",msa,AL,2023-02-28,0.4,-0.1,-0.2,2023-04-04,2023-04-04
190,395240,191,"Yakima, WA",msa,WA,2023-02-28,0.3,0.4,2,2023-04-04,2023-04-04
191,394609,192,"Fort Smith, AR",msa,AR,2023-02-28,1.5,1.9,2.3,2023-04-04,2023-04-04
192,394585,193,"Fargo, ND",msa,ND,2023-02-28,0.3,-0.1,-2.6,2023-04-04,2023-04-04
193,394334,195,"Appleton, WI",msa,WI,2023-02-28,0.5,0.3,0,2023-04-04,2023-04-04
194,394387,196,"Binghamton, NY",msa,NY,2023-02-28,0.4,0.2,-0.2,2023-04-04,2023-04-04
195,395174,197,"Tyler, TX",msa,TX,2023-02-28,1,1.2,1.6,2023-04-04,2023-04-04
196,753895,198,"Lafayette, IN",msa,IN,2023-02-28,0.5,0.6,1,2023-04-04,2023-04-04
197,394378,199,"Bellingham, WA",msa,WA,2023-02-28,-0.4,-0.7,-0.1,2023-04-04,2023-04-04
198,395161,200,"Topeka, KS",msa,KS,2023-02-28,0.9,1.5,3.4,2023-04-04,2023-04-04
199,394813,201,"Macon, GA",msa,GA,2023-02-28,0.9,1.5,3.9,2023-04-04,2023-04-04
200,394519,202,"Daphne, AL",msa,AL,2023-02-28,0.3,0.3,2.6,2023-04-04,2023-04-04
201,394681,203,"Hilton Head Island, SC",msa,SC,2023-02-28,0.4,0.8,2.8,2023-04-04,2023-04-04
202,394454,204,"Champaign, IL",msa,IL,2023-02-28,0.3,-0.3,-2.2,2023-04-04,2023-04-04
203,395030,205,"Rochester, MN",msa,MN,2023-02-28,0.2,0.2,-0.5,2023-04-04,2023-04-04
204,394848,206,"Medford, OR",msa,OR,2023-02-28,-0.4,-1.1,-2.3,2023-04-04,2023-04-04
205,394773,207,"Las Cruces, NM",msa,NM,2023-02-28,0.4,0.5,1.1,2023-04-04,2023-04-04
206,394429,208,"Burlington, VT",msa,VT,2023-02-28,0.8,1,1.1,2023-04-04,2023-04-04
207,394459,209,"Charlottesville, VA",msa,VA,2023-02-28,-0.1,0,-0.4,2023-04-04,2023-04-04
